Cancel|Kanselleer
Old Password:|Ou Wagwoord:
New Password:|Nuwe Wagwoord:
Confirm new Password:|Bevestig nuwe Wagwoord:
Fast|Vinnig
Shared|Gedeel
Keys|Sleutels
&Option:|&Opsie:
&Planned|Be&plan
Welcome!|Welkom!
Sleep|Slaap
Show...|Wys...
alt|alt
*.*|*.*
Usage|Gebruik
In/Out|In/Uit
S&ettings|Inst&ellings
Up|Op
Down|Af
Broadcast|Uitsaai
Computer:|Rekenaar:
Display:|Vertoon:
Keyboard:|Sleutelbord:
PID|PID
test.txt|test.txt
Resource List|Hulpbron Lys
Resources|Hulpbronne
control.exe|control.exe
sysdm.cpl|sysdm.cpl
Driver exclusive|Drywer eksklusief
&Info|&Inligting
CPU 4|CPU 4
CPU 5|CPU 5
CPU 6|CPU 6
CPU 7|CPU 7
CPU 8|CPU 8
CPU 9|CPU 9
Look at|Kyk na
Username|Gebruikernaam
regedit.exe|regedit.exe
Revision:|Hersiening:
winver.exe|winver.exe
 Create a new service.|Skep 'n nuwe diens.
SYSTEM.INI|SYSTEM.INI
FREELDR.INI|FREELDR.INI
*.reg|*.reg
Port:|Poort:
Take no action|Neem geen aksie
UTF-8|UTF-8
Full Control|Volle Beheer
256 Colors|256 Kleure
All|Alle
&Beginner|&Beginner
ReactOS Service Manager|ReactOS Diens Bestuurder
Downloaded|Afgelaai
System properties|Stelsel eienskappe
External|Ekstern
Primary server|Primere bediener
Backup server|Terugval bediener
Not installed|Nie geinstalleer nie
&Modify|&Modifiseer
(CI)|(CI)
(OI)|(OI)
(IO)|(IO)
Finance|Finansies
n/a|n/a
Open Font...|Maak Skrif Oop...
VDD:|VDD:
Mixed|Gemeng
unknown|onbekend
Group name|Groep naam
Untitled|Ongetiteld
Run a Program|Hardloop 'n Program
&Data|&Data
Graphics|Grafika
Controller ID|Beheerder ID
Alias name|Alias naam
Manufacturer ID|Vervaardiger ID
Page View|Bladsy Sig
Product ID|Produk ID
Console|Konsole
cmd.exe|cmd.exe
Full Screen|Vol Skerm
Remote Desktop|Afgelee Lessenaar
Remote Desktop Connection|Afgelee Lessenaar Konneksie
Pencil|Potlood
Brush|Kwas
Select color|Selekteer kleur
Selection|Seleksie
Open|Maak Oop
DELETE|DELETE
Source|Oorsprong
Button|Knoppie
12.5%|12.5%
25%|25%
50%|50%
100%|100%
200%|200%
400%|400%
800%|800%
&n|&n
20 mm|20 mm
25 mm|25 mm
&Right:|&Regs:
Build|Bou
ANSI|ANSI
WARNING|WAARSKUWING
&Portrait|&Portret
Page &s|Bladsy &s
&Landscape|&Landskap
Scoring|Telling
Borders|Grense
&Refresh\tF5|&Ve&rvris\tF5
Direction|Rigting
Dependencies|Afhanklikhede
&List|&Lys
Tool Name|Gereedskap Naam
Nobody|Niemand
Success|Sukses
Date|Datum
&New\tF2|&Nuwe\tF2
Category|Kategorie
Device ID:|Toestel ID:
Provider:|Verskaffer:
Input Devices|Invoer Toestelle
&Install|&Installeer
Tan|Tan
Spider|Spinnekop
Music Ports|Musiek Poorte
Test DirectPlay|Toets DirectPlay
Font &Name:|Skrif &Naam:
Desktop|Lessenaar
Eraser|Uitveer
S&ave|Berg
Paragraph...|Paragraaf...
Sa&ve As...|Berg As...
Op&en...|Maak oop...
&Colors|&Kleure
Object|Objek
Links|Skakels
Time zone|Tydzone
Find Next|Vind Volgende
kB|kB
MB|MB
Text Document|Teks Dokument
ReactOS Console|ReactOS Konsole
Logon settings|Aanteken instellings
&Format|&Formaat
Cut|Sny
Save|Berg
&End Now|&Eindig Nou
Connection settings|Konneksie instellings
Rectangle|Reghoek
Line|Lyn
Threads|Garings
&No|&Nee
Local Port|Plaaslike Poort
Local Monitor|Plaaslike Monitor
&Delete|Verwy&der
CPU 0|CPU 0
CPU 1|CPU 1
CPU 2|CPU 2
CPU 3|CPU 3
Sound Recorder|Klank Opnemer
Enter the server address.|Voeg die bediener adres in.
&Server:|&Bediener:
&End Process|&Eindig Proses
DUMMY|DUMMY
&User name:|Gebr&uiker naam:
Volume Control|Volume Beheer
Reason:|Rede:
Planned|Beplan
Comm&ent:|Komm&entaar:
